Sujeito;Série;Turno;Q1;Q2;Q3;Q4
21;1° A;Convencional;3- Raramente é usado;4- Bom;Não;2- Ruim
24;1° A;Convencional;2- Nunca é usado;3- Regular;Não;3- Regular
25;1° A;Convencional;2- Nunca é usado;3- Regular;Não;3- Regular
23;1° A;Convencional;4- De vez em quando;3- Regular;Não;3- Regular
22;1° A;Convencional;3- Raramente é usado;4- Bom;Não;4- Bom
20;1° A;Convencional;2- Nunca é usado;4- Bom;Não;5- Ótimo
29;1° B;Convencional;2- Nunca é usado;0- Não respondeu;Não;2- Ruim
31;1° B;Convencional;2- Nunca é usado;0- Não respondeu;Não;2- Ruim
28;1° B;Convencional;3- Raramente é usado;0- Não respondeu;Não;3- Regular
30;1° B;Convencional;2- Nunca é usado;0- Não respondeu;Não;4- Bom
27;1° B;Convencional;2- Nunca é usado;0- Não respondeu;Não;0- Não respondeu
26;1° B;Convencional;1- Não há na escola;3- Regular;Não;0- Não respondeu
3;2° B;Convencional;3- Raramente é usado;5- Ótimo;Não;3- Regular
1;2° B;Convencional;4- De vez em quando;5- Ótimo;Não;3- Regular
2;2° B;Convencional;4- De vez em quando;5- Ótimo;Não;4- Bom
4;2° B;Convencional;5- Sempre é usado;5- Ótimo;Não;5- Ótimo
12;2°A;Convencional;2- Nunca é usado;5- Ótimo;Não;2- Ruim
7;2°A;Convencional;3- Raramente é usado;5- Ótimo;Não;2- Ruim
5;2°A;Convencional;4- De vez em quando;5- Ótimo;Não;3- Regular
11;2°A;Convencional;4- De vez em quando;5- Ótimo;Não;3- Regular
8;2°A;Convencional;3- Raramente é usado;5- Ótimo;Sim;3- Regular
6;2°A;Convencional;3- Raramente é usado;5- Ótimo;Não;4- Bom
9;2°A;Convencional;3- Raramente é usado;5- Ótimo;Não;4- Bom
10;2°A;Convencional;4- De vez em quando;5- Ótimo;Sim;4- Bom
10;3°A;Convencional;2- Nunca é usado;5- Ótimo;Não;1- Péssimo
6;3°A;Convencional;2- Nunca é usado;5- Ótimo;Sim;2- Ruim
11;3°A;Convencional;2- Nunca é usado;5- Ótimo;Não;3- Regular
8;3°A;Convencional;2- Nunca é usado;5- Ótimo;Sim;3- Regular
9;3°A;Convencional;3- Raramente é usado;5- Ótimo;Não;4- Bom
7;3°A;Convencional;1- Não há na escola;5- Ótimo;Não;0- Não respondeu
17;3°B;Convencional;2- Nunca é usado;5- Ótimo;Não;2- Ruim
18;3°B;Convencional;2- Nunca é usado;5- Ótimo;Não;2- Ruim
13;3°B;Convencional;2- Nunca é usado;5- Ótimo;Não;3- Regular
15;3°B;Convencional;2- Nunca é usado;5- Ótimo;Não;3- Regular
12;3°B;Convencional;4- De vez em quando;5- Ótimo;Sim;3- Regular
19;3°B;Convencional;3- Raramente é usado;5- Ótimo;Não;4- Bom
16;3°B;Convencional;2- Nunca é usado;5- Ótimo;Sim;5- Ótimo
14;3°B;Convencional;2- Nunca é usado;5- Ótimo;Não;0- Não respondeu
7;1  Form doc;Técnico;4- De vez em quando;4- Bom;Sim;4- Bom
3;1 Form doc;Técnico;2- Nunca é usado;4- Bom;Não;1- Péssimo
1;1 Form doc;Técnico;2- Nunca é usado;4- Bom;Não;2- Ruim
8;1 Form doc;Técnico;3- Raramente é usado;4- Bom;Sim;3- Regular
5;1 Form doc;Técnico;4- De vez em quando;4- Bom;Não;4- Bom
6;1 Form doc;Técnico;2- Nunca é usado;4- Bom;Não;5- Ótimo
4;1 Form doc;Técnico;2- Nunca é usado;4- Bom;Não;0- Não respondeu
2;1 Form doc;Técnico;3- Raramente é usado;4- Bom;Não;0- Não respondeu
11;1 Info;Técnico;2- Nunca é usado;4- Bom;Não;3- Regular
19;1 Info;Técnico;2- Nunca é usado;4- Bom;Não;3- Regular
9;1 Info;Técnico;2- Nunca é usado;4- Bom;Sim;3- Regular
18;1 Info;Técnico;5- Sempre é usado;4- Bom;Não;4- Bom
13;1 Info;Técnico;1- Não há na escola;4- Bom;Não;0- Não respondeu
14;1 Info;Técnico;1- Não há na escola;4- Bom;Não;0- Não respondeu
16;1 Info;Técnico;1- Não há na escola;4- Bom;Não;0- Não respondeu
10;1 Info;Técnico;2- Nunca é usado;4- Bom;Não;0- Não respondeu
12;1 Info;Técnico;2- Nunca é usado;4- Bom;Não;0- Não respondeu
15;1 Info;Técnico;2- Nunca é usado;4- Bom;Não;0- Não respondeu
17;1 Info;Técnico;2- Nunca é usado;4- Bom;Não;0- Não respondeu
48;3° T. Informática;Técnico;2- Nunca é usado;4- Bom;Não;2- Ruim
46;3° T. Informática;Técnico;3- Raramente é usado;4- Bom;Não;3- Regular
44;3° T. Informática;Técnico;2- Nunca é usado;4- Bom;Sim;3- Regular
45;3° T. Informática;Técnico;3- Raramente é usado;4- Bom;Não;4- Bom
47;3° T. Informática;Técnico;3- Raramente é usado;4- Bom;Não;4- Bom
43;3° T. Informática;Técnico;4- De vez em quando;4- Bom;Não;4- Bom
30;3°ADM;Técnico;0- Não respondeu;4- Bom;Não;2- Ruim
33;3°ADM;Técnico;3- Raramente é usado;4- Bom;Não;3- Regular
39;3°ADM;Técnico;3- Raramente é usado;4- Bom;Não;3- Regular
34;3°ADM;Técnico;4- De vez em quando;4- Bom;Não;3- Regular
37;3°ADM;Técnico;4- De vez em quando;4- Bom;Não;3- Regular
31;3°ADM;Técnico;4- De vez em quando;4- Bom;Não;4- Bom
32;3°ADM;Técnico;4- De vez em quando;4- Bom;Não;4- Bom
35;3°ADM;Técnico;4- De vez em quando;4- Bom;Não;4- Bom
36;3°ADM;Técnico;4- De vez em quando;4- Bom;Não;4- Bom
38;3°ADM;Técnico;4- De vez em quando;4- Bom;Não;4- Bom
41;Sempre é usado° Formação Docente ;Técnico;2- Nunca é usado;4- Bom;Não;3- Regular
42;Sempre é usado° Formação Docente ;Técnico;3- Raramente é usado;4- Bom;Não;4- Bom
40;Sempre é usado° Formação Docente ;Técnico;4- De vez em quando;4- Bom;Não;4- Bom
25;Sempre é usado°ADM;Técnico;3- Raramente é usado;5- Ótimo;Não;2- Ruim
28;Sempre é usado°ADM;Técnico;3- Raramente é usado;4- Bom;Não;3- Regular
20;Sempre é usado°ADM;Técnico;2- Nunca é usado;5- Ótimo;Não;3- Regular
29;Sempre é usado°ADM;Técnico;3- Raramente é usado;4- Bom;Não;4- Bom
26;Sempre é usado°ADM;Técnico;4- De vez em quando;4- Bom;Não;4- Bom
27;Sempre é usado°ADM;Técnico;4- De vez em quando;4- Bom;Não;4- Bom
23;Sempre é usado°ADM;Técnico;4- De vez em quando;5- Ótimo;Não;4- Bom
24;Sempre é usado°ADM;Técnico;4- De vez em quando;5- Ótimo;Não;4- Bom
22;Sempre é usado°ADM;Técnico;5- Sempre é usado;5- Ótimo;Não;4- Bom
21;Sempre é usado°ADM;Técnico;5- Sempre é usado;5- Ótimo;Não;5- Ótimo
